Lið,Nafn,Lið,Leikir,Mörk,%,xG,+/-,Víti,V%,FiV,Sto,Sk.F,P%,S7m,TB,Sto/TB,Sk.F/TB,G/A,Frk,Stl,Blk,Stp,Gul,2m,Rau
Selfoss,Hákon Garri Gestsson,selfoss,19,2.7,52.6,2.75,-0.07,0.2,75.0,0.2,1.1,1.5,72.4,0.0,0.8,1.31,1.81,3.8,0.2,0.3,0.0,0.4,0.1,0.2,0.0
Selfoss,Dagbjartur Máni Björnsson,selfoss,2,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBV,Egill Oddgeir Stefánsson,ibv,17,0.6,71.4,0.51,+0.08,0.0,0,0.0,0.5,0.7,72.7,0.0,0.5,0.89,1.22,1.1,0.2,0.0,0.0,0.4,0.0,0.1,0.0
IBV,Andri Magnússon,ibv,6,1.0,54.5,1.17,-0.17,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,1,0.0,0.3,0.0,0.3,0.0,0.0,0.0
IBV,Elís Þór Aðalsteinsson,ibv,17,6.5,65.7,5.98,+0.55,1.6,79.4,1.5,4.1,5.5,74.2,0.6,2.2,1.86,2.51,10.6,0.4,0.6,0.0,2.1,0.0,0.4,0.0
IBV,Haukur Leó Magnússon,ibv,18,0.7,59.1,0.79,-0.06,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.7,0.2,0.1,0.1,1.7,0.1,0.3,0.1
Fram,Dánjal Ragnarsson,fram,19,4.1,52.3,4.29,-0.19,0.2,75.0,0.4,2.1,2.8,73.6,0.4,1.5,1.34,1.83,6.2,0.2,0.4,0.1,1.2,0.1,0.2,0.0
IBV,Anton Frans Sigurðsson,ibv,23,2.0,63.4,1.94,+0.02,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.00,0.00,2,0.7,0.3,0.0,0.4,0.1,0.1,0.0
IBV,Heimir Halldór Sigurjónsson,ibv,5,0.4,100.0,0.28,+0.12,0.2,100.0,0.0,0.4,0.4,100.0,0.0,0.2,2.00,2.00,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0
IBV,Tómas Runi Gunnarsson,ibv,2,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Selfoss,Ragnar Hilmarsson,selfoss,1,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valur,Daníel Montoro,valur,32,1.9,73.8,1.81,+0.13,0.0,0,0.2,0.1,0.1,75.0,0.0,0.3,0.38,0.50,2,0.1,0.4,0.0,0.1,0.0,0.2,0.0
Haukar,Daníel Máni Sigurgeirsson,haukar,2,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haukar,Egill Jónsson,haukar,5,0.2,33.3,0.40,-0.20,0.2,100.0,0.0,0.0,0.0,0,0.2,0.0,0,0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Haukar,Freyr Aronsson,haukar,28,6.4,66.2,6.37,+0.06,1.4,71.7,1.6,3.8,5.6,68.4,0.5,2.3,1.66,2.42,10.2,0.3,0.7,0.1,4.1,0.1,0.3,0.0
Haukar,Helgi Marinó Kristófersson,haukar,2,0.0,0.0,0.23,-0.23,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Haukar,Sigurður Bjarmi Árnason,haukar,1,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fram,Max Emil Stenlund,fram,22,2.6,55.2,2.42,+0.22,0.0,0,0.2,0.9,1.2,76.0,0.1,0.4,2.11,2.78,3.5,0.2,0.2,0.0,0.7,0.0,0.0,0.0
Fram,Marel Baldvinsson,fram,2,3.5,43.8,4.90,-1.40,0.0,0,0.5,4.0,5.5,72.7,1.0,2.5,1.60,2.20,7.5,0.0,1.0,0.0,4.0,0.0,1.0,0.0
HK,Elmar Franz Ólafsson,hk,1,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KA,Atli Róbert Haddsson,ka,2,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KA,Eyþór Nói Tryggvason,ka,2,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stjarnan,Gunnar Dagur Bjarnason,stjarnan,1,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stjarnan,Viktor Breki Róbertsson,stjarnan,2,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stjarnan,Dagur Máni Siggeirsson,stjarnan,8,0.1,25.0,0.23,-0.11,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0
Stjarnan,Matthías Dagur Þorsteinsson,stjarnan,15,0.1,12.5,0.29,-0.23,0.0,0,0.1,0.0,0.0,0,0.0,0.1,0.00,0.00,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.0
HK,Patrekur Jónas Tómasson,hk,1,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,Bjarki Freyr Sindrason,hk,1,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afturelding,Leó Halldórsson,umfa,11,0.5,66.7,0.57,-0.02,0.0,0,0.0,0.0,0.0,0,0.0,0.1,0.00,0.00,0.5,0.0,0.2,0.0,0.1,0.0,0.1,0.0
Afturelding,Ævar Smári Gunnarsson,umfa,22,2.7,48.0,2.81,-0.12,0.0,0,0.2,1.2,1.6,75.0,0.1,1.7,0.73,0.97,3.9,0.3,0.2,0.0,0.2,0.0,0.1,0.0
Afturelding,Sölvi Þór Daníelsson,umfa,3,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afturelding,Andri Freyr Friðriksson,umfa,9,1.1,83.3,0.85,+0.26,0.0,0,0.0,0.0,0.0,0,0.1,0.0,0,0,1.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0
Afturelding,Harri Halldórsson,umfa,25,3.8,53.0,3.95,-0.11,0.0,0.0,1.0,3.0,4.7,64.4,0.3,1.8,1.73,2.68,6.8,0.4,0.4,0.1,2.8,0.1,0.1,0.0
Valur,Bjarki Snorrason,valur,25,0.1,40.0,0.12,-0.04,0.0,100.0,0.1,0.0,0.0,0,0.0,0.1,0.00,0.50,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valur,Gunnar Róbertsson,valur,29,5.3,62.6,5.36,-0.05,0.7,73.1,1.2,3.1,4.4,70.5,0.4,1.8,1.75,2.48,8.4,0.3,1.2,0.2,1.4,0.1,0.2,0.0
IR,Örn Kolur Kjartansson,ir,18,0.3,83.3,0.21,+0.07,0.0,0,0.0,0.1,0.1,100.0,0.0,0.2,0.33,0.33,0.4,0.1,0.1,0.0,0.2,0.0,0.1,0.0
FH,Brynjar Narfi Arndal,fh,32,0.7,57.9,0.77,-0.08,0.0,0,0.1,0.3,0.4,76.9,0.1,0.2,1.67,2.17,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
FH,Ómar Darri Sigurgeirsson,fh,32,4.9,58.6,4.62,+0.29,0.0,0,0.5,2.1,2.8,74.7,0.2,1.7,1.24,1.65,7,0.5,0.4,0.2,1.4,0.0,0.2,0.0
Fram,Kristófer Tómas Gíslason,fram,13,0.4,100.0,0.27,+0.11,0.0,0,0.0,0.2,0.2,100.0,0.0,0.2,1.00,1.00,0.6,0.0,0.0,0.2,1.3,0.0,0.6,0.1
IR,Nathan Doku Helgi Asare,ir,22,0.8,62.1,0.91,-0.10,0.0,0,0.3,0.1,0.1,100.0,0.0,0.3,0.50,0.50,0.9,0.2,0.4,0.2,3.3,0.1,0.5,0.0
IR,Nökkvi Blær Hafþórsson,ir,9,0.0,0.0,0.07,-0.07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,Hjálmtýr Daníel S. Björnsson,ir,1,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,Ísar Tumi Gíslason,ir,12,0.0,0.0,0.05,-0.05,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valur,Dagur Ármannsson,valur,1,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FH,Garðar Ingi Sindrason,fh,33,5.1,59.4,5.03,+0.06,0.7,72.7,1.0,5.1,6.8,75.3,0.8,2.4,2.15,2.86,10.2,0.6,0.5,0.1,1.0,0.0,0.2,0.0
FH,Ingvar Dagur Gunnarsson,fh,33,0.4,80.0,0.33,+0.03,0.0,0,0.0,0.2,0.2,88.9,0.0,0.2,1.14,1.29,0.6,0.4,1.0,1.0,6.4,0.1,0.5,0.0
FH,Axel Þór Sigurþórsson,fh,1,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IR,Bernard Kristján Owusu Darkoh,ir,22,6.5,58.0,6.87,-0.42,0.0,0,1.7,1.6,2.3,68.6,0.2,2.5,0.63,0.91,8.1,0.3,0.5,0.0,0.5,0.0,0.1,0.0
IR,Patrekur Smári Arnarsson,ir,22,0.7,83.3,0.54,+0.14,0.0,0,0.4,0.1,0.1,100.0,0.0,0.5,0.17,0.17,0.8,0.2,0.0,0.1,1.1,0.0,0.2,0.0
Stjarnan,Róbert Orri Arason,stjarnan,11,0.5,42.9,0.74,-0.19,0.2,100.0,0.2,0.2,0.5,40.0,0.0,0.2,1.00,2.50,0.7,0.0,0.0,0.0,0.1,0.0,0.3,0.0
KA,Aron Daði Stefánsson,ka,26,0.3,47.4,0.42,-0.07,0.0,100.0,0.0,0.2,0.3,57.1,0.2,0.2,1.00,1.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KA,Leó Friðriksson,ka,6,0.0,0.0,0.08,-0.08,0.0,0,0.0,0.0,0.0,0,0.0,0.2,0.00,0.00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thor,Guðmundur Hlífar Jóhannesson,player_images\thor,11,0.1,33.3,0.18,-0.09,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Haukar,Gústaf Logi Gunnarsson,haukar,1,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valur,Logi Finnsson,valur,20,0.4,63.6,0.39,-0.04,0.0,0,0.0,0.0,0.1,0.0,0.0,0.2,0.00,0.33,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0
IBV,Einar Bent Bjarnason,ibv,1,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,Mikael Máni Weisshappel Jónsson,hk,16,0.1,100.0,0.04,+0.02,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,Styrmir Hugi Sigurðarson,hk,20,0.3,55.6,0.30,-0.05,0.0,0,0.1,0.2,0.3,75.0,0.0,0.1,3.00,4.00,0.5,0.0,0.1,0.0,0.1,0.0,0.0,0.0
Thor,Þormar Sigurðsson,player_images\thor,22,1.1,54.5,1.24,-0.15,0.0,0,0.1,0.0,0.0,0,0.0,0.2,0.00,0.00,1.1,0.0,0.0,0.0,0.2,0.0,0.1,0.0
FH,Daníel Breki Þorsteinsson,fh,2,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stjarnan,Aron Valur Gunnlaugsson,stjarnan,12,0.2,66.7,0.16,+0.01,0.0,0,0.0,0.3,0.3,100.0,0.0,0.2,1.50,1.50,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Afturelding,Brynjar Búi Davíðsson,umfa,21,0.2,62.5,0.24,0.00,0.0,0,0.0,0.1,0.1,100.0,0.0,0.0,3.00,3.00,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HK,Orfeus Andreou,hk,9,2.4,61.1,2.41,+0.03,0.0,0,0.2,0.1,0.1,100.0,0.0,0.3,0.33,0.33,2.5,0.6,0.0,0.0,0.6,0.0,0.0,0.0
IR,Jökull Blöndal Björnsson,ir,21,5.8,52.4,5.55,+0.26,0.7,93.8,0.4,1.7,2.4,72.0,0.1,1.2,1.38,1.92,7.5,0.4,0.3,0.3,3.8,0.0,0.5,0.1
IR,Baldur Fritz Bjarnason,ir,19,8.5,60.9,8.39,+0.13,3.2,84.7,0.3,3.5,5.7,61.1,1.1,3.9,0.88,1.44,12,0.5,0.5,0.0,0.1,0.0,0.1,0.1
IR,Bjartur Fritz Bjarnason,ir,3,0.3,50.0,0.47,-0.14,0.0,0.0,0.0,0.0,0.0,0,0.3,0.0,0,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fram,Alex Unnar Hallgrímsson,fram,2,0.5,33.3,1.00,-0.50,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0
IR,Sveinn Rúnar Sveinsson,ir,1,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KA,Smári Steinn Ágústsson,ka,7,0.1,50.0,0.20,-0.05,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
Valur,Allan Norðberg,valur,32,2.1,65.4,2.14,-0.01,0.0,50.0,0.3,0.7,0.9,82.1,0.1,0.5,1.44,1.75,2.8,0.3,0.2,0.1,3.4,0.1,0.5,0.0
Selfoss,Alvaro Mallols Fernandez,selfoss,15,0.4,27.3,0.74,-0.34,0.0,0,0.1,0.3,0.4,83.3,0.1,0.5,0.71,0.86,0.7,0.0,0.1,0.0,0.9,0.1,0.1,0.0
Fram,Steinar Már Einarsson Clausen,fram,1,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.00,0.00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stjarnan,Jóhannes Bjorgvin,stjarnan,9,1.8,100.0,1.21,+0.57,0.0,0,0.0,0.1,0.1,100.0,0.0,0.1,1.00,1.00,1.9,0.2,0.0,0.0,0.3,0.0,0.0,0.0
Valur,Bjarni í Selvindi,valur,2,2.0,66.7,2.05,-0.05,0.0,0,1.5,0.0,1.0,0.0,1.0,1.0,0.00,1.00,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Afturelding,Sveinur Olafsson,umfa,21,1.1,72.7,0.96,+0.18,0.0,0,0.3,1.0,1.2,80.0,0.1,0.5,2.00,2.50,2.1,0.1,0.1,0.0,1.7,0.0,0.0,0.0
FH,Bjarki Jóhannsson,fh,21,0.4,60.0,0.38,+0.05,0.0,0,0.1,0.4,0.5,80.0,0.0,0.4,0.89,1.11,0.8,0.0,0.0,0.0,0.3,0.0,0.1,0.0
Stjarnan,Barnabás Rea,stjarnan,12,1.2,40.0,1.18,-0.01,0.0,0,0.3,2.3,2.7,84.4,0.1,1.4,1.59,1.88,3.5,0.2,0.1,0.0,0.5,0.0,0.1,0.1
FH,Chaouachi Mohamed Khalil,fh,10,0.2,100.0,0.14,+0.06,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.2,0.1,0.0,0.0,0.4,0.0,0.7,0.1
Fram,Torfi Geir Halldórsson,fram,11,0.1,25.0,0.19,-0.10,0.0,0,0.1,0.0,0.0,0,0.0,0.0,0,0,0.1,0.2,0.3,0.2,2.0,0.1,0.5,0.1
KA,Ingvar Heiðmann Birgisson,ka,1,0.0,0,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afturelding,Oscar Sven Leithoff Lykke,umfa,23,4.1,56.0,4.29,-0.20,0.6,63.6,0.5,2.3,3.2,72.2,0.4,1.3,1.68,2.32,6.4,0.3,0.3,0.1,2.3,0.0,0.2,0.0
KA,Giorgi Arvelodi Dikhaminjia,ka,22,5.0,60.2,5.13,-0.18,0.0,0.0,0.0,0.1,0.3,42.9,0.1,0.4,0.33,0.78,5.1,0.8,0.4,0.0,0.9,0.0,0.5,0.0
KA,Morten Linder,ka,22,4.3,77.0,4.04,+0.23,0.7,78.9,0.5,3.0,4.2,71.7,0.3,1.9,1.61,2.24,7.3,0.3,0.4,0.0,0.1,0.0,0.2,0.0
IR,Atli Kolbeinn Siggeirsson,ir,4,0.3,100.0,0.15,+0.10,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thor,Igor Chiseliov,player_images\thor,21,1.4,47.5,1.44,-0.06,0.0,50.0,0.0,0.3,0.6,50.0,0.0,0.2,1.20,2.40,1.7,0.1,0.0,0.1,0.2,0.0,0.0,0.0
Valur,Bjarni I Selvindi,valur,22,3.6,64.0,3.57,+0.07,0.0,0,1.1,2.0,2.5,78.6,0.2,1.3,1.52,1.93,5.6,0.1,0.1,0.0,0.5,0.0,0.1,0.0
